element,standard,value,non_detect,rdl,unit,original_unit,original_value
Ag,LKSD 1,0.6,FALSE,NA,ppm,µg/g,0.6
As,LKSD 1,40,FALSE,NA,ppm,µg/g,40
Au,LKSD 1,0.005,FALSE,NA,ppm,ng/g,5
B,LKSD 1,49,FALSE,NA,ppm,µg/g,49
Ba,LKSD 1,430,FALSE,NA,ppm,µg/g,430
Be,LKSD 1,1.1,FALSE,NA,ppm,µg/g,1.1
Br,LKSD 1,11,FALSE,NA,ppm,µg/g,11
C,LKSD 1,123e3,FALSE,NA,ppm,%,12.3
Ce,LKSD 1,27,FALSE,NA,ppm,µg/g,27
Co,LKSD 1,11,FALSE,NA,ppm,µg/g,11
Cr,LKSD 1,31,FALSE,NA,ppm,µg/g,31
Cs,LKSD 1,1.5,FALSE,NA,ppm,µg/g,1.5
Cu,LKSD 1,44,FALSE,NA,ppm,µg/g,44
Dy,LKSD 1,3.4,FALSE,NA,ppm,µg/g,3.4
Eu,LKSD 1,0.9,FALSE,NA,ppm,µg/g,0.9
F,LKSD 1,300,FALSE,NA,ppm,µg/g,300
Fe,LKSD 1,28e3,FALSE,NA,ppm,%,2.8
H,LKSD 1,2.92,FALSE,NA,ppm,µg/g,2.92
Hf,LKSD 1,3.6,FALSE,NA,ppm,µg/g,3.6
La,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Li,LKSD 1,7,FALSE,NA,ppm,µg/g,7
L,LKSD 1,23.5,FALSE,NA,ppm,µg/g,23.5
Lu,LKSD 1,0.4,FALSE,NA,ppm,µg/g,0.4
Mn,LKSD 1,700,FALSE,NA,ppm,µg/g,700
Mo,LKSD 1,10,FALSE,NA,ppm,µg/g,10
Nb,LKSD 1,7,FALSE,NA,ppm,µg/g,7
Nd,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Ni,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Pb,LKSD 1,82,FALSE,NA,ppm,µg/g,82
Rb,LKSD 1,24,FALSE,NA,ppm,µg/g,24
S,LKSD 1,15700,FALSE,NA,ppm,%,1.57
Sb,LKSD 1,1.2,FALSE,NA,ppm,µg/g,1.2
Sc,LKSD 1,9,FALSE,NA,ppm,µg/g,9
Sm,LKSD 1,4,FALSE,NA,ppm,µg/g,4
Sn,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Sr,LKSD 1,250,FALSE,NA,ppm,µg/g,250
Ta,LKSD 1,0.3,FALSE,NA,ppm,µg/g,0.3
Tb,LKSD 1,0.6,FALSE,NA,ppm,µg/g,0.6
Th,LKSD 1,2.2,FALSE,NA,ppm,µg/g,2.2
Ti,LKSD 1,3010,FALSE,NA,ppm,µg/g,3010
U,LKSD 1,9.7,FALSE,NA,ppm,µg/g,9.7
V,LKSD 1,50,FALSE,NA,ppm,µg/g,50
W,LKSD 1,NA,TRUE,NA,ppm,µg/g,< 4
Y,LKSD 1,19,FALSE,NA,ppm,µg/g,19
Yb,LKSD 1,2,FALSE,NA,ppm,µg/g,2.0
Zn,LKSD 1,331,FALSE,NA,ppm,µg/g,331
Zr,LKSD 1,134,FALSE,NA,ppm,µg/g,134
Ag,LKSD 2,0.8,FALSE,NA,ppm,µg/g,0.8
As,LKSD 2,11,FALSE,NA,ppm,µg/g,11
Au,LKSD 2,0.003,FALSE,NA,ppm,ng/g,3
B,LKSD 2,65,FALSE,NA,ppm,µg/g,65
Ba,LKSD 2,780,FALSE,NA,ppm,µg/g,780
Be,LKSD 2,2.5,FALSE,NA,ppm,µg/g,2.5
Br,LKSD 2,18,FALSE,NA,ppm,µg/g,18
C,LKSD 2,45e3,FALSE,NA,ppm,%,4.5
Ce,LKSD 2,108,FALSE,NA,ppm,µg/g,108
Co,LKSD 2,17,FALSE,NA,ppm,µg/g,17
Cr,LKSD 2,57,FALSE,NA,ppm,µg/g,57
Cs,LKSD 2,3,FALSE,NA,ppm,µg/g,3.0
Cu,LKSD 2,37,FALSE,NA,ppm,µg/g,37
Dy,LKSD 2,7.3,FALSE,NA,ppm,µg/g,7.3
Eu,LKSD 2,1.9,FALSE,NA,ppm,µg/g,1.9
F,LKSD 2,590,FALSE,NA,ppm,µg/g,590
Fe,LKSD 2,43e3,FALSE,NA,ppm,%,4.3
H,LKSD 2,2.23,FALSE,NA,ppm,µg/g,2.23
Hf,LKSD 2,7,FALSE,NA,ppm,µg/g,7.0
La,LKSD 2,68,FALSE,NA,ppm,µg/g,68
Li,LKSD 2,20,FALSE,NA,ppm,µg/g,20
L,LKSD 2,12.3,FALSE,NA,ppm,µg/g,12.3
Lu,LKSD 2,0.6,FALSE,NA,ppm,µg/g,0.6
Mn,LKSD 2,2020,FALSE,NA,ppm,µg/g,2020
Mo,LKSD 2,NA,TRUE,NA,ppm,µg/g,<5
Nb,LKSD 2,8,FALSE,NA,ppm,µg/g,8
Nd,LKSD 2,58,FALSE,NA,ppm,µg/g,58
Ni,LKSD 2,26,FALSE,NA,ppm,µg/g,26
Pb,LKSD 2,44,FALSE,NA,ppm,µg/g,44
Rb,LKSD 2,85,FALSE,NA,ppm,µg/g,85
S,LKSD 2,1400.0000000000002,FALSE,NA,ppm,%,0.14
Sb,LKSD 2,1.1,FALSE,NA,ppm,µg/g,1.1
Sc,LKSD 2,13,FALSE,NA,ppm,µg/g,13
Sm,LKSD 2,11,FALSE,NA,ppm,µg/g,11
Sn,LKSD 2,5,FALSE,NA,ppm,µg/g,5
Sr,LKSD 2,220,FALSE,NA,ppm,µg/g,220
Ta,LKSD 2,0.8,FALSE,NA,ppm,µg/g,0.8
Tb,LKSD 2,1.4,FALSE,NA,ppm,µg/g,1.4
Th,LKSD 2,13.4,FALSE,NA,ppm,µg/g,13.4
Ti,LKSD 2,3460,FALSE,NA,ppm,µg/g,3460
U,LKSD 2,7.6,FALSE,NA,ppm,µg/g,7.6
V,LKSD 2,77,FALSE,NA,ppm,µg/g,77
W,LKSD 2,NA,TRUE,NA,ppm,µg/g,< 4
Y,LKSD 2,44,FALSE,NA,ppm,µg/g,44
Yb,LKSD 2,4,FALSE,NA,ppm,µg/g,4.0
Zn,LKSD 2,209,FALSE,NA,ppm,µg/g,209
Zr,LKSD 2,254,FALSE,NA,ppm,µg/g,254
Ag,LKSD 3,2.7,FALSE,NA,ppm,µg/g,2.7
As,LKSD 3,27,FALSE,NA,ppm,µg/g,27
Au,LKSD 3,0.003,FALSE,NA,ppm,ng/g,3
B,LKSD 3,25,FALSE,NA,ppm,µg/g,25
Ba,LKSD 3,680,FALSE,NA,ppm,µg/g,680
Be,LKSD 3,1.9,FALSE,NA,ppm,µg/g,1.9
Br,LKSD 3,16,FALSE,NA,ppm,µg/g,16
C,LKSD 3,45e3,FALSE,NA,ppm,%,4.5
Ce,LKSD 3,90,FALSE,NA,ppm,µg/g,90
Co,LKSD 3,30,FALSE,NA,ppm,µg/g,30
Cr,LKSD 3,87,FALSE,NA,ppm,µg/g,87
Cs,LKSD 3,2.3,FALSE,NA,ppm,µg/g,2.3
Cu,LKSD 3,35,FALSE,NA,ppm,µg/g,35
Dy,LKSD 3,4.9,FALSE,NA,ppm,µg/g,4.9
Eu,LKSD 3,1.5,FALSE,NA,ppm,µg/g,1.5
F,LKSD 3,490,FALSE,NA,ppm,µg/g,490
Fe,LKSD 3,4e4,FALSE,NA,ppm,%,4.0
H,LKSD 3,2.07,FALSE,NA,ppm,µg/g,2.07
Hf,LKSD 3,4.8,FALSE,NA,ppm,µg/g,4.8
La,LKSD 3,52,FALSE,NA,ppm,µg/g,52
Li,LKSD 3,25,FALSE,NA,ppm,µg/g,25
L,LKSD 3,11.8,FALSE,NA,ppm,µg/g,11.8
Lu,LKSD 3,0.4,FALSE,NA,ppm,µg/g,0.4
Mn,LKSD 3,1440,FALSE,NA,ppm,µg/g,1440
Mo,LKSD 3,NA,TRUE,NA,ppm,µg/g,<5
Nb,LKSD 3,8,FALSE,NA,ppm,µg/g,8
Nd,LKSD 3,44,FALSE,NA,ppm,µg/g,44
Ni,LKSD 3,47,FALSE,NA,ppm,µg/g,47
Pb,LKSD 3,29,FALSE,NA,ppm,µg/g,29
Rb,LKSD 3,78,FALSE,NA,ppm,µg/g,78
S,LKSD 3,1400.0000000000002,FALSE,NA,ppm,%,0.14
Sb,LKSD 3,1.3,FALSE,NA,ppm,µg/g,1.3
Sc,LKSD 3,13,FALSE,NA,ppm,µg/g,13
Sm,LKSD 3,8,FALSE,NA,ppm,µg/g,8
Sn,LKSD 3,3,FALSE,NA,ppm,µg/g,3
Sr,LKSD 3,240,FALSE,NA,ppm,µg/g,240
Ta,LKSD 3,0.7,FALSE,NA,ppm,µg/g,0.7
Tb,LKSD 3,1,FALSE,NA,ppm,µg/g,1.0
Th,LKSD 3,11.4,FALSE,NA,ppm,µg/g,11.4
Ti,LKSD 3,3330,FALSE,NA,ppm,µg/g,3330
U,LKSD 3,4.6,FALSE,NA,ppm,µg/g,4.6
V,LKSD 3,82,FALSE,NA,ppm,µg/g,82
W,LKSD 3,NA,TRUE,NA,ppm,µg/g,< 4
Y,LKSD 3,30,FALSE,NA,ppm,µg/g,30
Yb,LKSD 3,2.7,FALSE,NA,ppm,µg/g,2.7
Zn,LKSD 3,152,FALSE,NA,ppm,µg/g,152
Zr,LKSD 3,178,FALSE,NA,ppm,µg/g,178
Ag,LKSD 4,NA,TRUE,NA,ppm,µg/g,<0.5
As,LKSD 4,16,FALSE,NA,ppm,µg/g,16
Au,LKSD 4,0.002,FALSE,NA,ppm,ng/g,2
B,LKSD 4,22,FALSE,NA,ppm,µg/g,22
Ba,LKSD 4,330,FALSE,NA,ppm,µg/g,330
Be,LKSD 4,1,FALSE,NA,ppm,µg/g,1.0
Br,LKSD 4,49,FALSE,NA,ppm,µg/g,49
C,LKSD 4,177e3,FALSE,NA,ppm,%,17.7
Ce,LKSD 4,48,FALSE,NA,ppm,µg/g,48
Co,LKSD 4,11,FALSE,NA,ppm,µg/g,11
Cr,LKSD 4,33,FALSE,NA,ppm,µg/g,33
Cs,LKSD 4,1.7,FALSE,NA,ppm,µg/g,1.7
Cu,LKSD 4,31,FALSE,NA,ppm,µg/g,31
Dy,LKSD 4,3.7,FALSE,NA,ppm,µg/g,3.7
Eu,LKSD 4,1.1,FALSE,NA,ppm,µg/g,1.1
F,LKSD 4,260,FALSE,NA,ppm,µg/g,260
Fe,LKSD 4,28e3,FALSE,NA,ppm,%,2.8
H,LKSD 4,6.55,FALSE,NA,ppm,µg/g,6.55
Hf,LKSD 4,2.8,FALSE,NA,ppm,µg/g,2.8
La,LKSD 4,26,FALSE,NA,ppm,µg/g,26
Li,LKSD 4,12,FALSE,NA,ppm,µg/g,12
L,LKSD 4,40.8,FALSE,NA,ppm,µg/g,40.8
Lu,LKSD 4,0.5,FALSE,NA,ppm,µg/g,0.5
Mn,LKSD 4,500,FALSE,NA,ppm,µg/g,500
Mo,LKSD 4,NA,TRUE,NA,ppm,µg/g,<5
Nb,LKSD 4,9,FALSE,NA,ppm,µg/g,9
Nd,LKSD 4,25,FALSE,NA,ppm,µg/g,25
Ni,LKSD 4,31,FALSE,NA,ppm,µg/g,31
Pb,LKSD 4,91,FALSE,NA,ppm,µg/g,91
Rb,LKSD 4,28,FALSE,NA,ppm,µg/g,28
S,LKSD 4,9900,FALSE,NA,ppm,%,0.99
Sb,LKSD 4,1.7,FALSE,NA,ppm,µg/g,1.7
Sc,LKSD 4,7,FALSE,NA,ppm,µg/g,7
Sm,LKSD 4,5,FALSE,NA,ppm,µg/g,5
Sn,LKSD 4,5,FALSE,NA,ppm,µg/g,5
Sr,LKSD 4,110,FALSE,NA,ppm,µg/g,110
Ta,LKSD 4,0.4,FALSE,NA,ppm,µg/g,0.4
Tb,LKSD 4,1.2,FALSE,NA,ppm,µg/g,1.2
Th,LKSD 4,5.1,FALSE,NA,ppm,µg/g,5.1
Ti,LKSD 4,2270,FALSE,NA,ppm,µg/g,2270
U,LKSD 4,31,FALSE,NA,ppm,µg/g,31.0
V,LKSD 4,49,FALSE,NA,ppm,µg/g,49
W,LKSD 4,NA,TRUE,NA,ppm,µg/g,< 4
Y,LKSD 4,23,FALSE,NA,ppm,µg/g,23
Yb,LKSD 4,2,FALSE,NA,ppm,µg/g,2.0
Zn,LKSD 4,194,FALSE,NA,ppm,µg/g,194
Zr,LKSD 4,105,FALSE,NA,ppm,µg/g,105
Si,LKSD 1,187442.12173160462,NA,NA,ppm,% SiO2,40.1
Al,LKSD 1,41282.04033369369,NA,NA,ppm,% Al2O3,7.8
Mg,LKSD 1,10251.711988884477,NA,NA,ppm,% MgO,1.7
Ca,LKSD 1,77187.37316637361,NA,NA,ppm,% CaO,10.8
Na,LKSD 1,14837.245159151604,NA,NA,ppm,% Na2O,2
K,LKSD 1,9131.664720716315,NA,NA,ppm,% K2O,1.1
P,LKSD 1,872.8536347332993,NA,NA,ppm,% P2O5,0.2
Si,LKSD 2,275320.2236905614,NA,NA,ppm,% SiO2,58.9
Al,LKSD 2,65098.60206467081,NA,NA,ppm,% Al2O3,12.3
Mg,LKSD 2,10251.711988884477,NA,NA,ppm,% MgO,1.7
Ca,LKSD 2,15723.353793150181,NA,NA,ppm,% CaO,2.2
Na,LKSD 2,14095.382901194023,NA,NA,ppm,% Na2O,1.9
K,LKSD 2,21583.93479442038,NA,NA,ppm,% K2O,2.6
P,LKSD 2,1309.280452099949,NA,NA,ppm,% P2O5,0.3
Si,LKSD 3,273450.47684037086,NA,NA,ppm,% SiO2,58.5
Al,LKSD 3,66157.11591938091,NA,NA,ppm,% Al2O3,12.5
Mg,LKSD 3,12060.837633981739,NA,NA,ppm,% MgO,2.0
Ca,LKSD 3,16438.051692838824,NA,NA,ppm,% CaO,2.3
Na,LKSD 3,17062.831933024343,NA,NA,ppm,% Na2O,2.3
K,LKSD 3,18263.32944143263,NA,NA,ppm,% K2O,2.2
P,LKSD 3,872.8536347332993,NA,NA,ppm,% P2O5,0.2
Si,LKSD 4,194453.67241981925,NA,NA,ppm,% SiO2,41.6
Al,LKSD 4,31226.15871394779,NA,NA,ppm,% Al2O3,5.9
Mg,LKSD 4,5427.3769352917825,NA,NA,ppm,% MgO,0.9
Ca,LKSD 4,12864.562194395603,NA,NA,ppm,% CaO,1.8
Na,LKSD 4,5193.035805703062,NA,NA,ppm,% Na2O,0.7
K,LKSD 4,6641.210705975501,NA,NA,ppm,% K2O,0.8
P,LKSD 4,1309.280452099949,NA,NA,ppm,% P2O5,0.3
